court,casenum,file_date,top_ct_desc,top_ct_statute,n_ct,ojo_burg_cat
ROGERS,CF-2019-00209,4/5/19,BURGLARY IN THE SECOND DEGREE,21.1435,5,SECOND DEGREE
ROGERS,CF-2019-00213,4/9/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00214,4/9/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00217,4/9/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00228,4/12/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00233,4/12/19,BURGLARY IN THE FIRST DEGREE,21.1431,2,FIRST DEGREE
ROGERS,CF-2019-00235,4/12/19,BURGLARY IN THE FIRST DEGREE,21.1431,2,FIRST DEGREE
ROGERS,CF-2019-00244,4/17/19,ATTEMPTED BURGLARY IN THE FIRST DEGREE,21.1431,1,FIRST DEGREE
ROGERS,CF-2019-00257,4/26/19,BURGLARY IN THE 3RD DEGREE,21.1435.B,3,THIRD DEGREE
ROGERS,CF-2019-00258,4/30/19,BURGLARY IN THE THIRD DEGREE,21.1435.B,2,THIRD DEGREE
ROGERS,CF-2019-00269,5/2/19,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2019-00270,5/2/19,BURGLARY IN THE SECOND DEGREE,21.1435,4,SECOND DEGREE
ROGERS,CF-2019-00274,5/2/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00275,5/2/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00282,5/3/19,BURGLARY IN THE 3RD DEGREE,21.1435.B,10,THIRD DEGREE
ROGERS,CF-2019-00289,5/7/19,ATTEMPTED BURGLARY IN THE FIRST DEGREE,21.1431,3,FIRST DEGREE
ROGERS,CF-2019-00290,5/7/19,ATTEMPTED BURGLARY IN FIRST DEGREE,21.1431,2,FIRST DEGREE
ROGERS,CF-2019-00293,5/7/19,ATTEMPTING BURGLARY IN THE FIRST DEGREE (A FELONY) (AFCF),21.1431,2,FIRST DEGREE
ROGERS,CF-2019-00300,5/9/19,BURGLARY IN THE 3RD DEGREE,21.1435.B,1,THIRD DEGREE
ROGERS,CF-2019-00323,5/21/19,BURGLARY IN THE THIRD DEGREE,21.1435.B,5,THIRD DEGREE
ROGERS,CF-2019-00325,5/23/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00343,5/29/19,BURGLARY IN THE 3RD DEGREE,21.1435.B,6,THIRD DEGREE
ROGERS,CF-2019-00356,6/4/19,BURGLARY IN THE THIRD DEGREE,21.1435.B,8,THIRD DEGREE
ROGERS,CF-2019-00380,6/17/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
